external_gene_name	entrezgene_id
ADCY4	196883
CRLF2	64109
ITGA9	3680
FOXO1	2308
RUNX1	861
RUNX1	100506403
PLCL2	23228
SS18	6760
IRS2	8660
FLT3	2322
SMAD2	4087
U2AF1	7307
U2AF1	102724594
SRC	6714
BIVM-ERCC5	100533467
MED4	29079
RB1	5925
SGCG	6445
GATA4	2626
HRAS	3265
ZNRF3	84133
TMPRSS2	7113
TMPRSS2	124905021
TCF4	6925
MAPK1	5594
BCL2L1	598
PAX5	5079
AXIN1	8312
LYN	4067
GNAQ	2776
ERG	2078
GAD2	2572
TOP1	7150
PML	5371
CREBBP	1387
B2M	567
JARID2	3720
GATA6	2627
YWHAE	7531
NUTM1	256646
CDK8	1024
KIF5B	3799
TPMT	7172
BCL2	596
ETV6	2120
PRPF8	10594
SLIT2	9353
FGF10	2255
HSPH1	10808
WRN	7486
AMER1	139285
NUP93	9688
SYK	6850
PRDM1	639
KLF4	9314
AURKA	6790
FLT1	2321
ZMYM3	9203
BICC1	80114
MSH3	4437
ANO3	63982
IL7R	3575
FANCF	2188
MLH3	27030
TNFRSF14	8764
VAV1	7409
ARFRP1	10139
WT1	7490
GNA11	2767
AKT3	10000
BRCA2	675
SF3A1	10291
SMARCB1	6598
IGF1R	3480
EYS	346007
PLCG1	5335
PIGA	5277
PREX2	80243
RAD50	10111
PDCD1	5133
ID3	3399
NCOA2	10499
BCR	613
EDIL3	10085
RSPO2	340419
BUB1B	701
SEMA6D	80031
FGF3	2248
JAK2	3717
IKZF3	22806
ATRX	546
PDGFRA	5156
SETBP1	26040
TCF12	6938
PRSS8	5652
HLA-A	3105
HLA-DRB1	3123
CTNNA1	1495
RSPO3	84870
HGF	3082
HLA-B	3106
RARA	5914
DAXX	1616
DAXX	113523636
HLA-C	3107
MEF2B	4207
MEF2B	100271849
CD19	930
SMC1A	8243
RINT1	60561
MYH9	4627
GEN1	348654
EPHA3	2042
MAPK3	5595
RGS17	26575
MIR548AI	100616347
SUFU	51684
TFE3	7030
CBLB	868
MBD2	8932
KEL	3792
FUS	2521
PLAG1	5324
TSHR	7253
SH2B3	10019
DOCK1	1793
TGFBR2	7048
SHB	6461
BCORL1	63035
LIFR	3977
TOP2A	7153
PAX7	5081
CCNE1	898
GNA13	10672
RRAGC	64121
BCOR	54880
CD40	958
POT1	25913
TAF1	6872
SOX10	6663
CDKN2C	1031
DDX41	51428
ALK	238
CSF1R	1436
PDGFRB	5159
LETM1	3954
RPS20	6224
SOX9	6662
KAT6A	7994
PAH	5053
NOTCH1	4851
LZTR1	8216
SMAD4	4089
KDM5C	8242
MIR6891	102465537
FLCN	201163
EP300	2033
MED12	9968
KLF2	10365
HOXB13	10481
GABRA6	2559
SNCAIP	9627
LRP1B	53353
SOX2	6657
PAK1	5058
MECOM	2122
GRIK4	2900
EWSR1	2130
TFEB	7942
PHF6	84295
ATR	545
AURKB	9212
REEP5	7905
ROS1	6098
TBX3	6926
KLHL6	89857
AXL	558
GPC3	2719
HIF1A	3091
RET	5979
BLM	641
MAP2K4	6416
BARD1	580
PIK3CB	5291
PIK3R2	5296
RBM10	8241
GLI1	2735
CYLD	1540
NKX2-1	7080
BCL6	604
ZNF217	7764
EXT1	2131
MYH7B	57644
PTPRT	11122
SYN3	8224
GNAS	2778
NF2	4771
RPS15	6209
ZRSR2	8233
CHEK2	11200
SMC3	9126
TET2	54790
RECQL4	9401
EIF1AX	1964
EIF1AX	124905557
XPC	7508
NPM1	4869
ASXL1	171023
BTK	695
PRUNE2	158471
NTRK2	4915
CD58	965
RAD21	5885
EGR2	1959
IL2RG	3561
EPHA7	2045
PTPRD	5789
CROT	54677
BRINP3	339479
ATXN2	6311
MAP2K1	5604
ETNK1	55500
KDR	3791
TCOF1	6949
ZBTB2	57621
INHBA	3624
FGF23	8074
CCND2	894
EPHA5	2044
NOTCH3	4854
STAT6	6778
CDH1	999
STAT4	6775
NUP214	8021
SMO	6608
CCND3	896
SLC7A8	23428
KEAP1	9817
FANCC	2176
FANCC	105376156
GRIN2A	2903
FAS	355
FANCG	2189
CUX1	1523
NBN	4683
AK9	221264
CDKN2A	1029
PRKDC	5591
PAFAH1B3	5050
CDKN2B	1030
FAT3	120114
STAT3	6774
PDCD1LG2	80380
NT5C2	22978
ZNF703	80139
ADGRA2	25960
HLA-DRB5	3127
BRF2	55290
KIT	3815
HMCN1	83872
PDK1	5163
ERCC4	2072
BRD4	23476
PAX3	5077
ERBB2	2064
FGFR4	2264
FOXL2	668
KMT2C	58508
HSP90AA1	3320
MYB	4602
MIR3175	100422995
SDHA	6389
ACVR1B	91
FOXA1	3169
GATA3	2625
CBFB	865
FANCM	57697
SOCS1	8651
BAP1	8314
CALR	811
DICER1	23405
TCF7L2	6934
DDX3X	1654
IRF2	3660
NFE2	4778
EZH2	2146
NFKBIA	4792
CD74	972
BCL11B	64919
CHD4	1108
FGFR1	2260
FAT1	2195
TRAF3	7187
ESR1	2099
PHOX2B	8929
PAK3	5063
GRM3	2913
BCL2L2-PABPN1	100529063
HNRNPK	3190
MAP3K1	4214
ITK	3702
IDH1	3417
AR	367
KDM6A	7403
STAG2	10735
ABL1	25
CHD2	1106
NTHL1	4913
PIK3R1	5295
SF3B1	23451
FRS2	10818
CDKN1A	1026
PIM1	5292
BACH2	60468
ERCC2	2068
ZNF750	79755
COL1A1	1277
CIC	23152
RUNX1T1	862
NTRK3	4916
AKT1	207
MYC	4609
RAD51B	5890
IRF4	3662
CIITA	4261
BRIP1	83990
FBXW7	55294
HSD3B1	3283
C12orf43	64897
ZNF276	92822
FANCA	2175
FANCE	2178
SMAD3	4088
BRD3	8019
IRF8	3394
MAP2K2	5605
TSC1	7248
PTCH1	5727
BMPR1A	657
FGFR2	2263
PIK3CA	5290
KMT2B	9757
PLCG2	5336
POLD1	5424
SLX4	84464
PYROXD1	79912
RECQL	5965
TERT	7015
DOT1L	84444
PLEKHJ1	55111
TET1	80312
MEF2C-AS1	101929423
SBDS	51119
LTF	4057
XRCC2	7516
IKZF1	10320
CARD11	84433
PPARG	5468
FLT4	2324
FANCD2	2177
SIPA1	6494
PIK3CG	5294
TRAF7	84231
SAMD9	54809
SAMD9L	219285
ERBB3	2065
EGFR	1956
CSNK1A1	1452
MCL1	4170
MCL1	574406
CDKN1B	1027
XPO1	7514
FGF6	2251
VEGFA	7422
FGFR3	2261
EPHB1	2047
MAP3K7	6885
SGK1	6446
INPP4B	8821
PAX8-AS1	654433
DCAKD	79877
APC	324
JAK3	3718
LIMCH1	22998
KMT2D	8085
QKI	9444
USP6	9098
FOXP1	27086
EBF1	1879
ATM	472
BRAF	673
PALB2	79728
NFKBIE	4794
SUZ12	23512
CD79A	973
MDM2	4193
TSC2	7249
NSD1	64324
RICTOR	253260
CCND1	595
FGF19	9965
ARID1B	57492
TYK2	7297
TNFAIP3	7128
LMO1	4004
SETD2	29072
FBXO11	80204
MPL	4352
CD79B	974
IKZF2	22807
RPTOR	57521
U2AF2	11338
AKT2	208
TSPOAP1	9256
RNF43	54894
MAGI2	9863
HDAC4	9759
